Paragraph 0
在位七十一年,壽一百二十歳.	ở ngôi bảy mươi mốt năm , thọ một trăm hai mươi mốt tuổi .
至州,帝率眾三萬拒之,敗於朱鳶,又敗於蘇歷江口,帝奔嘉寧城.	khi đến giao châu , vua đem ba vạn quân ra chống cự , bị thua ở chu diên , lại thua ở cửa sông tô lịch , vua chạy về thành gia ninh một trăm bốn mươi lăm .
秋,八月,帝復率二萬自獠中率屯典澈湖,大造舟艦充塞湖中.	mùa thu , tháng tám , vua lại đem hai vạn quân từ trong đất lạo ra đóng ở hồ điển triệt một trăm bốn mươi sáu , đóng nhiều thuyền đậu chật cả mặt hồ .
夏,四月,林邑王寇日南,帝命其將范脩擊破之于九德.	mùa hạ , tháng bốn , vua lâm ấp cướp quận nhật nam , vua sai tướng là phạm tu đánh tan ở cửu đức .
乙丑,二年[梁大同十一年].	ất sửu năm thứ hai , ( lương đại đồng năm thứ mười một ) .
梁兵追圍之.	quân lương đuổi theo vây đánh .
覇先曰:"交州叛换,罪由宗室,遂使溷亂數州,逋誅累歲.	bá tiên nói : " giao châu làm phản , tội do người tông thất một trăm bốn mươi ba để mấy châu hỗn loạn , trốn tội đã nhiều năm nay .
定州欲偷安目前,不顧𡐡計.	định châu chỉ muốn trộm yên trước mắt , không nghĩ đến kế lớn .
節下奉辞伐罪,當死生以之𡸈,可逗瀏不進長寇沮眾乎?	tiết hạ một trăm bốn mươi bốn vâng chiếu đi đánh kẻ có tội , phải nên liều sống chết , há nên dùng dằng không tiến để nuôi cho thế giặc thêm mạnh mà làm ngăn trở quân mình hay sao ?
勃知士卒憚遠役,因詭説留㬓.	bột biết các quân lính sợ đi đánh xa , nhân đó nói dối để giữ thiêu ở lại .
丙寅三年,[梁中大同元年].	bính dần năm thứ ba , ( lương đại đồng năm thứ nhất ) .
遂勒眾先發,𭛁以覇先爲前鋒.	" rồi bá tiên đem quân đi trước , thiêu cho bá tiên làm tiên phong .
甲子,天德元年,[梁大同十年].	giáp tý năm thứ nhất , ( lương đại đồng năm thứ mười ) .
以趙肅爲太傅,并韶,范脩等並拜將相官.	lấy triệu túc làm thái phó , bọn tinh thiều , phạm tu đều làm tướng văn , tướng võ .
春,正月,覇先等克嘉寧城.	mùa xuân , tháng giêng , bọn bá tiên đánh lấy được thành gia ninh .
㬓集諸將問計.	thiêu học các tướng để hỏi kế .
帝入新昌獠中.	vua chạy vào đất người lạo ở tân xương .
梁兵遂屯嘉寧江口.	quân lương đóng ở cửa sông gia ninh .
起萬壽殿以爲朝會之所.	dựng điện vạn thọ làm nơi triều hội .

Paragraph 42
[世傳雄王時,王女仙容媚娘出遊海口,船回至褚家鄕洲,步行洲上,遇褚童子裸身先匿葦叢中,自以爲月老葦緣,其合爲夫妻,畏罪避居岸上,所居便成都會.	thuyền về đến bãi ở hương chử gia , tiên dung lên trên bãi , gặp chử đồng tử trần truồng núp trong bụi lau , tự cho là nguyệt lão xe duyên , bèn cùng nhau làm vợ chồng , sợ tội phải ở lánh trên bờ sông , chỗ ấy trở thành nơi đô hội .
是夜,江水暴漲七尺,注湖中.	đêm hôm ấy nước sông lên mạnh , dâng cao bảy thước , tràn đổ vào hồ .
絶煙火人跡,夜則以獨木船出兵擊覇先營,殺獲甚眾,所得粮食爲持久計.	quang phục thuộc rõ đường đi lối lại , đem hơn hai vạn người vào đóng ở nền đất trong đầm , ban ngày tuyệt không để khói lửa và dấu người , ban đêm dùng thuyền độc mộc đem quân ra đánh doanh trại của quân bá tiên , giết và bắt sống rất nhiều , lấy được lương thực để làm kế cầm cự lâu dài .
春,正月,朔,日食.	mùa xuân , tháng giêng , ngày mồng một , nhật thực .
然非諳識岐路,則迷不知處,誤墮水中爲虫蛇所傷死.	nhưng nếu không quen biết đường lối thì lạc không biết là đâu , lỡ rơi xuống nước liền bị rắn độc cắn chết .
備,因大潰,退保屈獠洞中,治兵欲復戰,委大將趙光復守國,調兵擊覇先.	vua vốn không phòng bị , vì thế quân vỡ , phải lui giữ ở trong động khuất lạo một trăm bốn mươi bảy để sửa binh đánh lại , uỷ cho đại tướng là triệu quang phục giữ việc nước , điều quân đi đánh bá tiên .
覇先謂諸將曰:"我師已老,將士疲勞,且孤軍無援,入人心腹,若一戰不利,𡸈望生全.	nay nhân lúc bọ họ vừa thua luôn mấy trận , lòng người chưa vững , mà người di lạo ô hợp , dễ đánh giết , chính nên cùng ra tay liều chết , cố sức đánh lấy , không có cớ gì mà dừng lại thì lỡ mất thời cơ " .
梁兵憚之頓湖口,不敢進.	quân lương sợ , cứ đóng lại ở cửa hồ không dám tiến vào .
丁卯四年[梁太清元年].	đinh mão năm thứ bốn , ( lương thái thanh năm thứ nhất ) .
覇先蹀而攻之,竟不能得.	bá tiên theo hút mà đánh , nhưng không đánh được .
覇先勒所部兵隨流水先進.	bá tiên đem quân bản bộ theo dòng nước tiến trước vào .
王調兵討之.	quân lương đánh trống reo hò mà tiến .
光復諳得脉絡,率二萬餘人屯澤中址,晝則泯.	triệu quang phục cầm cự với trần bá tiên , chưa phân thắng bại .
國人號夜澤王.	người trong nước gọi là dạ trạch vương .
諸將皆默然莫應.	các tướng đều im lặng , không ai hưởng ứng .
今藉其屢敗,人情未固,夷獠烏合,易爲摧殄,正當共出百死决力取之,無故停留時事去矣".	đầm này ở huyện chu diên , chu vi không biết bao nhiêu dặm , cỏ cây um tùm , bụi rậm che kín , ở giữa có nền đất cao có thể ở được , bốn mặt bùn lầy , người ngựa khó đi , chỉ có thể dùng thuyền độc mộc nhỏ chống sào đi lướt trên cỏ nước mới có thể đến được .
梁眾皷譟而前.	
帝素不爲.	
趙光復與陳覇先將持,未决勝負.	
而覇先軍甚盛,光復度不能之,乃退保夜澤,其澤在朱鳶,周廻不知里數,草木榛莽,叢薄交蔽,中有基地可居,四靣泥淖,沮洳人馬難行,惟用獨木小舟,篙行於水草之上乃可到.	
	trần bá tiên bảo các tướng rằng : " quân ta ở đây đã lâu , tướng sĩ mỏi mệt , vả lại thế cô không có tiếp viện .
	hùng vương đem quân đến đánh .

Paragraph 43
嗚呼!	than ôi !
王姓趙諱光復,趙肅之子,朱鳶縣人,威壮勇烈,從南帝征伐有功,拜左將軍.	vua họ triệu , tên huý là quang phục , là con triệu túc , người huyện chu diên , uy tráng dũng liệt , theo nam đế đi đánh dẹp có công , được trao chức tả tướng quân .
春,三月,辛亥,三帝在屈獠洞中,日久肙瘴病薨.	mùa xuân , tháng ba , ngày tân hợi nam đế ở động khuất lạo lâu ngày nhiễm lam chướng , ốm chết .
忽夜半風雨暴至舂撞所居,棟宇自拨,居人及鷄犬一時同升于天,留其空址在澤中.	bỗng nửa đêm mưa gió dữ dội làm rung chuyển nơi ở , rường cột tự bốc lên , người và gà chó trong một lúc cùng bay lên trời , chỉ còn lại cái nền không ở giữa đầm .
童子仙容恐惧待罪.	đồng tử và tiên dung sợ hãi đợi tội .
史臣鼯士連曰:前南帝之𦥷兵除暴,宜若順乎天矣,然而卒𦤶敗亡者,盖天未欲我國平治耶?	sử thần ngô sĩ liên nói : tiền lý nam đế dấy binh trừ bạo , đáng là thuận đạo trời , thế mà cuối cùng đến nỗi bại vong , là vì trời chưa muốn cho nước ta được bình trị chăng ?
李賁亦中才之將,其臨敵制勝不爲不能,然卒以两敗身亡者,盖不幸而遇陳覇先之善用兵也.	lý bí cũng là bậc tướng trung tài , ra trận chế ngự quân địch giành phần thắng không phải là không làm được , nhưng bị hai lần thua rồi chết , bởi không may gặp phải trần bá tiên là kẻ giỏi dùng binh vậy .
黎文休曰:兵法云:"三萬齊力,天下莫能當焉".	lê văn hưu nói : binh pháp có câu : " ba vạn quân đều sức , thiên hạ không ai địch nổi " .
今李賁有眾五萬而不能守國,然則賁短於爲將.	nay lý bí có năm vạn quân mà không giữ được nước , thế thì bí kém tài làm tướng chăng ?
戊辰,元年,[梁太清二年].	mậu thìn , năm thứ nhất , ( lương thái thanh năm thứ hai ) .
時人呼其洲曰自然洲,其澤曰一夜澤,今存舊號云].	người bấy giờ gọi bãi ấy là bãi tự nhiên , đầm ấy là đầm nhất dạ , nay vẫn còn tên gọi cũ ) .
南帝薨,乃稱王,都龍編,遷武寕.	nam đế mất , bèn xưng vương , đóng đô ở long biên , sau dời sang vũ ninh .
抑新集之兵不可與戰耶?	hay là quân lính mới họp không thể đánh được chăng ?
右前南帝,起辛酉,終丁卯,凣七年.	trở lên là tiền lý nam đế , từ năm tân dậu đến năm đinh mão , tất cả bảy năm ( năm trăm bốn mươi mốt - năm trăm bốn mươi bảy ) .
趙越王.	kỷ triệu triệu việt vương .
在位二十三年.	phụ : đào lang vương ở ngôi hai mươi ba năm .
趙越王紀.	
附:𣑯郎王[王㨿險,設奇以摧大敵,惜夫過愛其女𦤶有女壻之衬].	
耶?	
非特遇覇先之善用兵,又遭江水之暴涨以助其勢,庸非天乎?	
	vua giữ đất hiểm , dùng kỳ binh để đánh giặc lớn , tiếc vì quá yêu con gái đến nỗi mắc hoạ vì con rể .
	không chỉ vì gặp phải bá tiên là kẻ giỏi dùng binh , mà còn gặp lúc nước sông đột ngột dâng lên trợ thế , há chẳng phải cũng do trời hay sao ?

Paragraph 44
李佛子率眾東下,與王戰于太平縣,凣五接陣,未决勝負,而佛子兵少却,意王有異術,乃󰕖和請盟.	lý phật tử đem quân xuống miền đông đánh nhau với vua ở huyện thái bình , năm lần giáp trận , chưa phân thắng bại , mà quân của phật tử hơi lùi , ngờ là vua có thuật lạ , bèn giảng hoà xin ăn thề .
之,天寳兵敗,乃收餘眾萬人奔哀牢境夷獠中,見桃江原頭野能洞,地廣衍沃可居,築城居之,因地名建國號.	trần bá tiên đuổi theo đánh thiên bảo bị thua , bèn thu nhặt quân còn sót được vạn người chạy sang đất người di lạo ở ai lao , thấy động dã năng ở đầu nguồn đào giang , đất phẳng rộng màu mỡ có thể ở được , mới đắp thành để ở , nhân tên đất ấy mà đặt quốc hiệu .
梁有侯景之亂,召還,委裨將楊孱攻王.	gặp lúc nhà lương có loạn hầu cảnh , gọi về , uỷ cho tì tướng là dương sàn đánh nhau với vua .
春,正月,梁授陳覇先威明將軍交州刺史.	mùa xuân , tháng giêng , nhà lương cho trần bá tiên làm uy minh tướng quân giao châu thứ sử .
乙亥,八年,[梁敬帝方智,紹泰元年].	ất hợi , năm thứ tám , ( lương kính đế phương trí , thiệu thái năm thứ nhất ) .
[俗傳澤中神人褚童子時乘黃龍自天而下,脱龍爪付王,俾戴兜鍪上以擊賊].	từ đó quân thanh lừng lẫy , đến đâu không ai địch nổi ( tục truyền rằng thần nhân trong đầm là chử đồng tử bấy giờ cưỡi rồng vàng từ trên trời rơi xuống , rút móng rồng trao cho vua , bảo gài lên mũ đâu mâu mà đánh giặc ) .
覇先又圖欲持守日久,使粮絶兵疲則可破會.	bá tiên lại mưu tính cầm cự lâu ngày khiến cho lương hết quân mỏi thì có thể phá được .
王入龍編城居之.	vua vào thành long biên ở .
南帝兄天寳居夷獠中,稱桃郎王,立國曰野能國.	anh của nam đế là thiên bảo , ở đất người di lạo , xưng là đào lang vương , lập nước gọi là nước dã năng .
孱拒戰,敗死.	sàn chống cự , thua chết .
先是南帝避居屈獠之時,天寳與族將李佛子率三萬人入九眞.	trước đó , khi nam đế tránh ở động khuất lạo , thiên bảo cùng với tướng người họ là lý phật tử đem ba vạn người vào cửu chân .
梁軍潰北歸.	quân lương tan vỡ chạy về bắc .
己巳,二年[梁太清三年].	kỷ tỵ , năm thứ hai , ( lương thái thanh năm thứ ba ) .
庚午,三年,[梁簡文帝綱,太寳元年].	canh ngọ , năm thứ ba , ( lương giản văn đế cương , thái bảo một trăm năm mươi mốt năm thứ nhất ) .
[桃郎王卒于野能國,無嗣,眾推李佛子爲嗣,統其眾.	đào lang vương mất ở nước dã năng , không có con nối , quân chúng suy tôn lý phật tử lên nối ngôi , thống lĩnh quân chúng .
至是眾推爲主,稱桃郎王.	đến bây giờ quân chúng tôn làm chúa , xưng là đào lang vương .
王縱兵擊之.	vua tung quân ra đánh .
王居澤中以梁兵不退之,故焚香祈禱,懇吿于天地神祇,於是得龍爪兠鍪之瑞,.	
用以擊賊.	
陳覇先追擊.	
	vua ở trong đầm thấy quân lương không lui , mới đốt hương cầu đảo , khẩn thiết kinh cáo với trời đất thần kỳ , thế rồi có điềm lành được mũ đâu mâu móng rồng dùng để đánh giặc .

Paragraph 45
在位三十二年.	ở ngôi ba mươi hai năm .
雅郎潜謀易其爪,私謂杲娘曰:"吾聞父母深恩,重如天地,吾夫婦雅相愛重,不忍契闊,吾且割愛歸家".	nhã lang mưu ngầm tráo đổi cái móng ấy , rồi bảo riêng với cảo nương rằng : " tôi nghĩ ơn sâu của cha mẹ nặng bằng trời đất , vợ chồng ta hoà nhã yêu quý nhau không nỡ xa cách , nhưng tôi phải tạm dứt tình , về thăm cha mẹ " .
帝姓李,諱佛子,前南帝族將也,逐趙越王襲南帝位號,都嗚鳶,遷峯州.	vua họ lý , tên huý là phật tử , là tướng người họ của tiền nam đế , đuổi triệu việt vương , nối vị hiệu của nam đế , đóng đô ở thành ô diên , sau dời đến phong châu .
