Paragraph 0
第八十一回急兄仇张飞遇害雪弟恨先主兴兵	Đệ bát thập nhất hồi cấp huynh cừu trương phi ngộ hại tuyết đệ hận tiên chủ hưng binh
”数骑蛮兵，猛力向前。	" Sổ kỵ man binh, mãnh lực hướng tiền.
孟获当先呐喊，抢到大林之前，趷踏一声，踏了陷坑，一齐塌倒。	Mạnh hoạch đương tiên nột hảm, thưởng đáo đại lâm chi tiền, hốt đạp nhất thanh, đạp liễu hãm khanh, nhất tề tháp đảo.
大林之内，转出魏延，引数百军来，一个个拖出，用索缚定。	Đại lâm chi nội, chuyển xuất ngụy duyên, dẫn sổ bách quân lai, nhất cá cá tha xuất, dụng tác phược định.
孔明先到寨中，招安蛮兵，并诸甸酋长洞丁——此时大半皆归本乡去了——除死伤外，其余尽皆归降。	Khổng minh tiên đáo trại trung, chiêu an man binh, tịnh chư điện tù trường động đinh - thử thời đại bán giai quy bổn hương khứ liễu - trừ tử thương ngoại, kì dư tẫn giai quy hàng.
孔明以酒肉相待，以好言抚慰，尽令放回。	Khổng minh dĩ tửu nhục tương đãi, dĩ hảo ngôn phủ úy, tẫn lệnh phóng hồi.
蛮兵皆感叹而去。	Man binh giai cảm thán nhi khứ.
少顷，张翼解孟优至。	Thiểu khoảnh, trương dực giải mạnh ưu chí.
孔明诲之曰：“汝兄愚迷，汝当谏之。	Khổng minh hối chi viết: "Nhữ huynh ngu mê, nhữ đương gián chi.
今被吾擒了四番，有何面目再见人耶！	Kim bị ngô cầm liễu tứ phiên, hữu hà diện mục "Ngô sát nhữ bất tại kim nhật.
吾且饶汝性命，劝谕汝兄。	Ngô thả nhiêu nhữ tính mệnh, khuyến dụ nhữ huynh.
”令武士解其绳索，放起孟优。	" Lệnh võ sĩ giải kì thằng tác, phóng khởi mạnh ưu.
优泣拜而去。	Ưu khấp bái nhi khứ.
不一时，魏延解孟获至。	Bất nhất thời, ngụy duyên giải mạnh hoạch chí.
孔明大怒曰：“你今番又被吾擒了，有何理说！	Khổng minh đại nộ viết: "Nhĩ kim phiên hựu bị ngô cầm liễu, hữu hà lí thuyết!
”获曰：“吾今误中诡计，死不瞑目！	" Hoạch viết: "Ngô kim ngộ trung quỷ kế, tử bất minh mục!
”孔明叱武士推出斩之。	" Khổng minh sất võ sĩ thôi xuất trảm chi.
获全无惧色，回顾孔明曰：“若敢再放吾回去，必然报四番之恨！	Hoạch toàn vô cụ sắc, hồi cố khổng minh viết: "Nhược cảm tái phóng ngô hồi khứ, tất nhiên báo tứ phiên chi hận!
”孔明大笑，令左右去其缚，赐酒压惊，就坐于帐中。	" Khổng minh đại tiếu, lệnh tả hữu khứ kì phược, tứ tửu áp kinh, tựu tọa vu trướng trung.
孔明问曰：“吾今四次以礼相待，汝尚然不服，何也？	Khổng minh vấn viết: "Ngô kim tứ thứ dĩ lễ tương đãi, nhữ thượng nhiên bất phục, hà dã?
”获曰：“吾虽是化外之人，不似丞相专施诡计，吾如何肯服？	" Hoạch viết: "Ngô tuy thị hóa ngoại chi nhân, bất tự thừa tương chuyên thi quỷ kế, ngô như hà khẳng phục?
”孔明曰：“吾再放汝回去，复能战乎？	" Khổng minh viết: "Ngô tái phóng nhữ hồi khứ, phục năng chiến hồ?
”获曰：“丞相若再拿住吾，吾那时倾心降服，尽献本洞之物犒军，誓不反乱。	" Hoạch viết: "Thừa tương nhược tái nã trụ ngô, ngô na thời khuynh tâm hàng phục, tẫn hiến bổn động chi vật khao quân, thệ bất phản loạn.
”孔明即笑而遣之。	" Khổng minh tức tiếu nhi khiển chi.
获忻然拜谢而去。	Hoạch hãn nhiên bái tạ nhi khứ.
乃是兄弟孟优，重整残兵，来与兄报仇。	Vu thị tụ đắc chư động mạnh ưu, trọng chỉnh tàn binh, lai dữ huynh báo cừu.
兄弟二人，抱头相哭，诉说前事。	Huynh đệ nhị nhân, bão đầu tương khốc, tố thuyết tiền sự.
优曰：“我兵屡败，蜀兵屡胜，难以抵当。	Ưu viết: "Ngã binh lũ bại, thục binh lũ thắng, nan dĩ để đương.
只可就山阴洞中，退避不出。	Chỉ khả tựu sơn âm động trung, thối tị bất xuất.
蜀兵受不过暑气，自然退矣。	Thục binh thụ bất quá thử khí, tự nhiên thối hĩ.
”获问曰：“何处可避？	" Hoạch vấn viết: "Hà xứ khả tị?
”优曰：“此去西南有一洞，名曰秃龙洞。	" Ưu viết: "Thử khứ tây nam hữu nhất động, danh viết ngốc long động.
洞主朵思大王，与弟甚厚，可投之。	Động chủ đóa tư đại vương, dữ đệ thậm hậu, khả đầu chi.
”于是孟获先教孟优到秃龙洞，见了朵思大王。	" Vu thị mạnh hoạch tiên giáo mạnh ưu đáo ngốc long động, kiến liễu đóa tư đại vương.
朵思慌引洞兵出迎，孟获入洞，礼毕，诉说前事。	Đóa tư hoảng dẫn động binh xuất nghênh, mạnh hoạch nhập động, lễ tất, tố thuyết tiền sự.
朵思曰：“大王宽心。	Đóa tư viết: "Đại vương khoan tâm.
若蜀兵到来，令他一人一骑不得还乡，与诸葛亮皆死于此处！	Nhược thục binh đáo lai, lệnh tha nhất nhân nhất kỵ bất đắc hoàn hương, dữ Gia Cát lượng giai tử vu thử xử!
”获大喜，问计于朵思。	" Hoạch đại hỉ, vấn kế vu đóa tư.
朵思曰：“此洞中止有两条路：东北上一路，就是大王所来之路，地势平坦，土厚.水甜，人马可行；若以木石垒断洞口，虽有百万之众，不能进也。	Đóa tư viết: "Thử động trung chỉ hữu lưỡng điều lộ: đông bắc thượng nhất lộ, tựu thị đại vương sở lai chi lộ, địa thế bình thản, thổ hậu thủy điềm, nhân mã khả hành; nhược dĩ mộc thạch lũy đoạn động khẩu, tuy hữu bách vạn chi chúng, bất năng tiến dã.
西北上有一条路，山险岭恶，道路窄狭；其中虽有小路，多藏毒蛇恶蝎；黄昏时分，烟瘴大起，直至已，午时方收，惟未、申、酉三时，可以往来；水不可饮，人马难行。	Tây bắc thượng hữu nhất điều lộ, sơn hiểm lĩnh ác, đạo lộ trách hiệp; kì trung tuy hữu tiểu lộ, đa tàng độc xà dĩ, ngọ thời phương thu, duy vị, thân, dậu tam thời, khả dĩ vãng lai; thủy bất khả ẩm, nhân mã nan hành.
此处更有四个毒泉：一名哑泉，其水颇甜，人若饮之，则不能言，不过旬日必死；二曰灭泉，此水与汤无异，人若沐浴，则皮肉皆烂，见骨必死；三曰黑泉，其水微清，人若溅之在身，则手足皆黑而死；四曰柔泉，其水如冰，人若饮之，咽喉无暖气，身躯软弱如绵而死。	Thử xử canh hữu tứ cá độc tuyền: nhất danh ách tuyền, kì thủy pha điềm, nhân nhược ẩm chi, tắc bất năng ngôn, bất quá tuần nhật tất tử; nhị viết diệt tuyền, thử thủy dữ thang vô dị, nhân nhược mộc dục, tắc bì nhục giai lạn, kiến cốt tất tử; tam viết hắc tuyền, kì thủy vi thanh, nhân nhược tiên chi tại thân, tắc thủ túc giai hắc nhi tử; tứ viết nhu tuyền, kì thủy như băng, nhân nhược ẩm chi, yết hầu vô noãn khí, thân khu nhuyễn nhược như miên nhi tử.
此处虫鸟皆无，惟有汉伏波将军曾到；自此以后，更无一人到此。	Thử xử trùng điểu giai vô, duy hữu hán phục ba tướng quân tằng đáo; tự thử dĩ hậu, canh vô nhất nhân đáo thử.
今垒断东北大路，令大王稳居敝洞，若蜀兵见东路截断，必从西路而入；于路无水，若见此四泉，定然饮水，虽百万之众，皆无归矣。	Kim lũy đoạn đông bắc đại lộ, lệnh đại vương ổn cư tệ động, nhược thục binh kiến đông lộ tiệt đoạn, tất tòng tây lộ nhi nhập; vu lộ vô thủy, nhược kiến thử tứ tuyền, định nhiên ẩm thủy, tuy bách vạn chi chúng, giai vô quy hĩ.
何用刀兵耶！	Hà dụng đao binh da!
”孟获大喜，以手加额曰：“今日方有容身之地！	"Mạnh hoạch đại hỉ, dĩ thủ gia ngạch viết: "Kim nhật phương hữu dung thân chi địa!
”又望北指曰：“任诸葛神机妙算，难以施设！	" Hựu vọng bắc chỉ viết: "Nhâm Gia Cát thần cơ diệu toán, nan dĩ thi thiết!
四泉之水，足以报败兵之恨也！	Tứ tuyền chi thủy, túc dĩ báo bại binh chi hận dã!
”自此，孟获、孟优终日与朵思大王筵宴。	" Tự

Paragraph 81
却说孔明连日不见孟获兵出，遂传号令教大军离西洱河，望南进发。	Khước thuyết khổng minh liên nhật bất kiến mạnh hoạch binh xuất, toại truyền hiệu lệnh giáo đại quân li tây nhị hà, vọng nam tiến phát.
此时正当六月炎天，其热如火。	Thử thời chánh đương lục nguyệt viêm thiên, kì nhiệt như hỏa.
有后人咏南方苦热诗曰：“山泽欲焦枯，火光覆太虚。	Hữu hậu nhân vịnh nam phương khổ nhiệt thi viết: "Sơn trạch dục tiêu khô, hỏa quang phúc thái hư.
不知天地外，暑气更何如！	Bất tri thiên địa ngoại, thử khí canh hà như!
”又有诗曰：“赤帝施权柄，阴云不敢生。	" Hựu hữu thi viết: "Xích đế thi quyền bính, âm vân bất cảm sinh.
云蒸孤鹤喘，海热巨鳌惊。	Vân chưng cô hạc suyễn, hải nhiệt cự ngao kinh.
忍舍溪边坐？	Nhẫn xá khê biên tọa?
慵抛竹里行。	Thung phao trúc lí hành.
如何沙塞客，擐甲复长征！	Như hà sa tắc khách, hoàn giáp phục trường chinh!
”孔明统领大军，正行之际，忽哨马飞报：“孟获退往秃龙洞中不出，将洞口要路垒断，内有兵把守；山恶岭峻，不能前进。	" Khổng minh thống lĩnh đại quân, chánh hành chi tế, hốt tiếu mã phi báo: "Mạnh hoạch thối vãng ngốc long động trung bất xuất, tương động khẩu yếu lộ lũy đoạn, nội hữu binh bả thủ; sơn ác lĩnh tuấn, bất năng Lại nói Khổng Minh mấy hôm tiền tiến.
”孔明请吕凯问之，凯曰：“某曾闻此洞有条路，实不知详细。	" Khổng minh thỉnh lữ khải vấn chi, khải viết: "Mỗ tằng văn thử động hữu điều lộ, thật bất tri tường tế.
”蒋琬曰：“孟获四次遭擒，既已丧胆，安敢再出？	" Tương uyển viết: "Mạnh hoạch tứ thứ tao cầm, kí dĩ tang đảm, an cảm tái xuất?
况今天气炎热，军马疲乏，征之无益；不如班师回国。	Huống kim thiên khí viêm nhiệt, quân mã bì phạp, chinh chi vô ích; bất như ban sư hồi quốc.
”孔明曰：“若如此，正中孟获之计也。	" Khổng minh viết: "Nhược như thử, chánh trung mạnh hoạch chi kế dã.
吾军一退，彼必乘势追之。	Ngô quân nhất thối, bỉ tất thừa thế truy chi.
今已到此，安有复回之理！	Kim dĩ đáo thử, an hữu phục hồi chi lí!
”遂令王平领数百军为前部；却教新降蛮兵引路，寻西北小径而入。	" Toại lệnh vương bình lĩnh sổ bách quân vi tiền bộ; khước giáo tân hàng man binh dẫn lộ, tầm tây bắc tiểu kính nhi nhập.
前到一泉，人马皆渴，争饮此水。	Tiền đáo nhất tuyền, nhân mã giai khát, tranh ẩm thử thủy.
王平探有此路，回报孔明。	Vương bình tham hữu thử lộ, hồi báo khổng minh.
比及到大寨之时，皆不能言，但指口而已。	Bỉ cập đáo đại trại chi thời, giai bất năng ngôn, đãn chỉ khẩu nhi dĩ.
孔明大惊，知是中毒，遂自驾小车，引数十人前来看时，见一潭清水，深不见底，水气凛凛，军不敢试。	Khổng minh đại kinh, tri thị trung độc, toại tự giá tiểu xa, dẫn sổ thập nhân tiền lai khán thời, kiến nhất đàm thanh thủy, thâm bất kiến để, thủy khí lẫm lẫm, quân bất cảm thí.
孔明下车，登高望之，四壁峰岭，鸟雀不闻，心中大疑。	Khổng minh hạ xa, đăng cao vọng chi, tứ bích phong lĩnh, điểu tước bất văn, tâm trung đại nghi.
忽望见远远山冈之上，有一古庙。	Hốt vọng kiến viễn viễn sơn cương chi thượng, hữu nhất cổ miếu.
孔明攀藤附葛而到，见一石屋之中，塑一将军端坐，旁有石碑，乃汉伏波将军马援之庙：因平蛮到此，土人立庙祀之。	Khổng minh phàn đằng phụ cát nhi đáo, kiến nhất thạch ốc chi phục ba tướng quân mã viên chi miếu: nhân bình man đáo thử, thổ nhân lập miếu tự chi.
孔明再拜曰：“亮受先帝托孤之重，今承圣旨，到此平蛮；欲待蛮方既平，然后伐魏吞吴，重安汉室。	Khổng minh tái bái viết: "Lượng thụ tiên đế thác cô chi trọng, kim thừa thánh chỉ, đáo thử bình man; dục đãi man phương kí bình, nhiên hậu phạt ngụy thôn ngô, trọng an hán thất.
今军士不识地理，误饮毒水，不能出声。	Kim quân sĩ bất thức địa lí, ngộ ẩm độc thủy, bất năng xuất thanh.
万望尊神，念本朝恩义，通灵显圣，护佑三军！	Vạn vọng tôn thần, niệm bổn triều ân nghĩa, thông linh hiển thánh, hộ hữu tam quân!
”祈祷已毕，出庙寻土人问之。	" Kì đảo dĩ tất, xuất miếu tầm thổ nhân vấn chi.
隐隐望见对山一老叟扶杖而来，形容甚异。	Ẩn ẩn vọng kiến đối sơn nhất lão tẩu phù trượng nhi lai, hình dung thậm dị.
孔明请老叟入庙，礼毕，对坐于石上。	Khổng minh thỉnh lão tẩu nhập miếu, lễ tất, đối tọa vu thạch thượng.
孔明问曰：“丈者高姓？	Khổng minh vấn viết: "Trượng giả cao tính?
”老叟曰：“老夫久闻大国丞相隆名，幸得拜见。	" Lão tẩu viết: "Lão phu cửu văn đại quốc thừa tương long danh, hạnh đắc bái kiến.
蛮方之人，多蒙丞相活命，皆感恩不浅。	Man phương chi nhân, đa mông thừa tương hoạt mệnh, giai cảm ân bất thiển.
”孔明问泉水之故，老叟答曰：“军所饮水，乃哑泉之水也，饮之难言，数日而死。	" Khổng minh vấn tuyền thủy chi cố, lão tẩu đáp viết: "Quân sở ẩm thủy, nãi ách tuyền chi thủy dã, ẩm chi nan ngôn, sổ nhật nhi tử.
此泉之外，又有三泉：东南有一泉，其水至冷，人若饮水，咽喉无暖气，身躯软弱而死，名曰柔泉；正南有一泉，人若溅之在身，手足皆黑而死，名曰黑泉；西南有一泉，沸如热汤，人若浴之，皮肉尽脱而死，名曰灭泉。	Thử tuyền chi ngoại, hựu hữu tam tuyền: đông nam hữu nhất tuyền, kì thủy chí lãnh, nhân nhược ẩm thủy, yết hầu vô noãn khí, thân khu nhuyễn nhược nhi tử, danh viết nhu tuyền; chánh nam hữu nhất tuyền, nhân nhược tiên chi tại thân, thủ túc giai hắc nhi tử, danh viết hắc tuyền; tây nam hữu nhất tuyền, phí như nhiệt thang, nhân nhược dục chi, bì nhục tẫn thoát nhi tử, danh viết diệt tuyền.
敝处有此四泉，毒气所聚，无药可治，又烟瘴甚起，惟未、申、酉三个时辰可往来；余者时辰，皆瘴气密布，触之即死。	Tệ xử hữu thử tứ tuyền, độc khí sở tụ, vô dược khả trì, hựu yên chướng thậm khởi, duy vị, thân, dậu tam cá thời thần khả vãng lai; dư giả thời thần, giai chướng khí mật bố, xúc chi tức tử.
