Paragraph 0
第四十一回刘玄德携民渡江赵子龙单骑救主	Đệ tứ thập nhất hồi lưu huyền đức huề dân độ giang triệu tử long đan kỵ cứu chủ
”肃无奈，只得听从。	" Túc vô nại, chỉ đắc thính tòng.
玄德亲笔写成文书一纸，押了字。	Huyền đức thân bút tả thành văn thư nhất chỉ, áp liễu tự.
保人诸葛孔明也押了字。	Bảo nhân Gia Cát khổng minh dã áp liễu tự.
孔明曰：“亮是皇叔这里人，难道自家作保？	Khổng minh viết: "Lượng thị hoàng thúc giá lí nhân, nan đạo tự gia tác bảo?
烦子敬先生也押个字，回见吴侯也好看。	Phiền tử kính tiên sinh dã áp cá tự, hồi kiến ngô hầu dã hảo khán.
”肃曰：“某知皇叔乃仁义之人，必不相负。	" Túc viết: "Mỗ tri hoàng thúc nãi nhân nghĩa chi nhân, tất bất tương phụ.
”遂押了字，收了文书。	" Toại áp liễu tự, thu liễu văn thư.
宴罢辞回。	Yến bãi từ hồi.
玄德与孔明，送到船边。	Huyền đức dữ khổng minh, tống đáo thuyền biên.
孔明嘱曰：“子敬回见吴侯，善言伸意，休生妄想。	Khổng minh chúc viết: "Tử kính hồi kiến ngô hầu, thiện ngôn thân ý, hưu sinh vọng tưởng.
若不准我文书，我翻了面皮，连八十一州都夺了。	Nhược bất chuẩn ngã văn thư, ngã phiên liễu diện bì, liên bát thập nhất châu đô đoạt liễu.
今只要两家和气，休教曹贼笑话。	Kim chỉ yếu lưỡng gia hòa khí, hưu giáo tào tặc tiếu thoại.
”	" Tử Kính cũng ký tên vào đây, đem về Ngô hầu xem cho chắc

Paragraph 171
肃作别下船而回，先到柴桑郡见周瑜。	Túc tác biệt hạ thuyền nhi hồi, tiên đáo sài tang quận kiến chu du.
瑜问曰：“子敬讨荆州如何？	Du vấn viết: "Tử kính thảo kinh châu như hà?
”肃曰：“有文书在此。	" Túc viết: "Hữu văn thư tại thử.
”呈与周瑜，瑜顿足曰：“子敬中诸葛之谋也！	" Trình dữ chu du, du đốn túc viết: "Tử kính trung Gia Cát chi mưu dã!
名为借地，实是混赖。	Danh vi tá địa, thật thị hỗn lại.
他说取了西川便还，知他几时取西川？	Tha thuyết thủ liễu tây xuyên tiện hoàn, tri tha kỉ thời thủ tây xuyên?
假如十年不得西川，十年不还？	Giả như thập niên bất đắc tây xuyên, thập niên bất hoàn?
这等文书，如何中用，你却与他做保！	Giá đẳng văn thư, như hà trung dụng, nhĩ khước dữ tha tố bảo!
他若不还时，必须连累足下，主公见罪奈何？	Tha nhược bất hoàn thời, tất tu liên luy túc hạ, chúa công kiến tội nại hà?
”肃闻言，呆了半晌，曰：“恐玄德不负我。	" Túc văn ngôn, ngốc liễu bán thưởng, viết: "Khủng huyền đức bất phụ ngã.
”瑜曰：“子敬乃诚实人也。刘备枭雄之辈，诸葛亮奸猾之徒，恐不似先生心地。	" Du viết: "Tử kính nãi hùng chi bối, Gia Cát lượng gian hoạt chi đồ, khủng bất tự tiên sinh tâm địa.
”肃曰：“若此，如之奈何？	" Túc viết: "Nhược thử, như chi nại hà?
”瑜曰：“子敬是我恩人，想昔日指囷相赠之情，如何不救你？	" Du viết: "Tử kính thị ngã ân nhân, tưởng tích nhật chỉ khuân tương tặng chi tình, như hà bất cứu nhĩ?
你且宽心住数日，待江北探细的回，别有区处。	Nhĩ thả khoan tâm trụ sổ nhật, đãi giang bắc tham tế đích hồi, biệt hữu khu xử.
”鲁肃跼蹐不安。	" Lỗ túc cục tích bất an.

Paragraph 172
过了数日，细作回报：“荆州城中扬起布幡做好事，城外别建新坟，军士各挂孝。	Quá liễu sổ nhật, tế tác hồi báo: "Kinh châu thành trung dương khởi bố phiên tố hảo sự, thành ngoại biệt kiến tân phần, quân sĩ các quải hiếu.
”瑜惊问曰：“没了甚人？	" Du kinh vấn viết: "Một liễu thậm nhân?
”细作曰：“刘玄德没了甘夫人，即日安排殡葬。	" Tế tác viết: "Lưu huyền đức một liễu cam phu nhân, tức nhật an bài tấn táng.
瑜谓鲁肃曰：“吾计成矣：使刘备束手就缚，荆州反掌可得！	Du vị lỗ túc viết: "Ngô kế thành hĩ: sử lưu bị thúc thủ tựu phược, kinh châu phản chưởng khả đắc!
”肃曰：“计将安出？	"Túc viết: "Kế tương an xuất?
”瑜曰：“刘备丧妻，必将续娶。	" Du viết: "Lưu bị tang thê, tất tương tục thú.
主公有一妹，极其刚勇，侍婢数百，居常带刀，房中军器摆列遍满，虽男子不及。	Chúa công hữu nhất muội, cực kì cương dũng, thị tì sổ bách, cư thường đái đao, phòng trung quân khí bãi liệt biến mãn, tuy nam tử bất cập.
我今上书主公，教人去荆州为媒，说刘备来入赘。赚到南徐，妻子不能勾得，幽囚在狱中，却使人去讨荆州换刘备。	Ngã kim thượng thư chúa công, giáo nhân khứ kinh châu vi môi, thuyết lưu bị lai nhập chuế. trung, khước sử nhân khứ thảo kinh châu hoán lưu bị.
等他交割了荆州城池，我别有主意。	Đẳng tha giao cát liễu kinh châu thành trì, ngã biệt hữu chủ ý.
于子敬身上，须无事也。	Vu tử kính thân thượng, tu vô sự dã.
”鲁肃拜谢。	" lỗ túc bái tạ. lại.

Paragraph 173
周瑜写了书呈，选快船送鲁肃投南徐见孙权，先说借荆州一事，呈上文书。	Chu du tả liễu thư trình, tuyển khoái thuyền tống lỗ túc đầu nam từ kiến tôn quyền, tiên thuyết tá kinh châu nhất sự, trình thượng văn thư.
权曰：“你却如此糊涂！	Quyền viết: "Nhĩ khước như thử hồ đồ!
这样文书，要他何用！	Giá dạng văn thư, yếu tha hà dụng!
”肃曰：“周都督有书呈在此，说用此计，可得荆州。	" Túc viết: "Chu đô đốc hữu thư trình tại thử, thuyết dụng thử kế, khả đắc kinh châu.
”权看毕，点头暗喜，寻思谁人可去。	" Quyền khán tất, điểm đầu ám hỉ, tầm tư thùy nhân khả khứ.
猛然省曰：“非吕范不可。	Mãnh nhiên tỉnh viết: "Phi lữ phạm bất khả.
”遂召吕范至，谓曰：“近闻刘玄德丧妇。	" Toại triệu lữ phạm chí, vị viết: "Cận văn lưu huyền đức tang phụ.
吾有一妹，欲招赘玄德为婿，永结姻亲，同心破曹，以扶汉室。	Ngô hữu nhất muội, dục chiêu chuế huyền đức vi tế, vĩnh kết nhân thân, đồng tâm phá tào, dĩ phù hán thất.
非子衡不可为媒，望即往荆州一言。	Phi tử hành bất khả vi môi, vọng tức vãng kinh châu nhất ngôn.
”范领命，即日收拾船只，带数个从人，望荆州来。	" Phạm lĩnh mệnh, tức nhật thu thập thuyền chỉ, đái sổ cá tòng nhân, vọng kinh châu lai.
却说玄德自没了甘夫人，昼夜烦恼。	Khước thuyết huyền đức tự một liễu cam phu nhân, trú dạ phiền não.
一日，正与孔明闲叙，人报东吴差吕范到来。	Nhất nhật, chánh dữ khổng minh nhàn tự, nhân báo đông ngô sai lữ phạm đáo lai.
孔明笑曰：“此乃周瑜之计，必为荆州之故。	Khổng minh tiếu viết: "Thử nãi chu du chi kế, tất vi kinh châu chi cố.
亮只在屏风后潜听。	Lượng chỉ tại bình phong hậu tiềm thính.
但有甚说话，主公都应承了。	Đãn hữu thậm thuyết thoại, chúa công đô ứng thừa liễu.
留来人在馆驿中歇，别作商议。	Lưu lai nhân tại quán dịch trung hiết, biệt tác thương nghị.
”玄德教请吕范入。	" Huyền đức giáo thỉnh lữ phạm nhập.
礼毕坐定，茶罢，玄德问曰：“子衡来，必有所谕？	Lễ tất tọa định, trà bãi, huyền đức vấn viết: "Tử hành lai, tất hữu sở dụ?
”范曰：“范近闻皇叔失偶，有一门好亲，故不避嫌，特来作媒。	" Phạm viết: "Phạm cận văn hoàng thúc thất ngẫu, hữu nhất môn hảo thân, cố bất tị hiềm, đặc lai tác môi.
未知尊意若何？	Vị tri tôn ý nhược hà?
”玄德曰：“中年丧妻，大不幸也。	" Huyền đức viết: "Trung niên tang thê, đại bất hạnh dã.
骨肉未寒，安忍便议亲？	Cốt nhục vị hàn, an nhẫn tiện nghị thân?
”范曰：“人若无妻，如屋无梁，岂可中道而废人伦？	" Phạm viết: "Nhân nhược vô thê, như ốc vô lương, khởi khả trung đạo nhi phế nhân luân?
吾主吴侯有一妹，美而贤，堪奉箕帚。	Ngô chủ ngô hầu hữu nhất muội, mĩ nhi hiền, kham phụng ki trửu.
若两家共结秦、晋之好，则曹贼不敢正视东南也。	Nhược lưỡng gia cộng kết tần, tấn chi hảo, tắc tào tặc bất cảm chánh thị đông nam dã.
此事家国两便，请皇叔勿疑。	Thử sự gia quốc lưỡng tiện, thỉnh hoàng thúc vật nghi.
但我国太吴夫人甚爱幼女，不肯远嫁，必求皇叔到东吴就婚。	Đãn ngã quốc thái ngô phu nhân thậm ái ấu nữ, bất khẳng viễn giá, tất cầu hoàng thúc đáo đông ngô tựu hôn.
”玄德曰：“此事吴侯知否？	" Huyền đức viết: "Thử sự ngô hầu tri phủ?
”范曰：“不先禀吴侯，如何敢造次来说！	" Phạm viết: "Bất tiên bẩm ngô hầu, như hà cảm tạo thứ lai thuyết!
”玄德曰：“吾年已半百，鬓发斑白；	" Huyền đức viết: "Ngô ngẫu.
”范曰：“吴侯之妹，身虽女子，志胜男儿。	"Phạm viết: "Ngô hầu chi muội, thân tuy nữ tử, chí thắng nam nhi.
常言：若非天下英雄，吾不事之。	Thường ngôn: nhược phi thiên hạ anh hùng, ngô bất sự chi.
今皇叔名闻四海，正所谓淑女配君子，岂以年齿上下相嫌乎！	Kim hoàng thúc danh văn tứ hải, chánh sở vị thục nữ phối quân tử, khởi dĩ niên xỉ thượng hạ tương hiềm hồ!
”玄德曰：“公且少留，来日回报。	"Huyền đức viết: "Công thả thiểu lưu, lai nhật hồi báo.
”是日设宴相待，留于馆舍。	" Thị nhật thiết yến tương đãi, lưu vu quán xá.

Paragraph 174
至晚，与孔明商议。	Chí vãn, dữ khổng minh thương nghị.
孔明曰：“来意亮已知道了。	Khổng minh viết: "Lai ý lượng dĩ tri đáo liễu.
适间卜易，得一大吉大利之兆。	Thích gian bốc dịch, đắc nhất đại cát đại lợi chi triệu.
主公便可应允。	Chúa công tiện khả ứng duẫn.
先教孙乾和吕范回见吴侯，面许已定，择日便去就亲。	Tiên giáo tôn kiền hòa lữ phạm hồi kiến ngô hầu, diện hứa dĩ định, trạch nhật tiện khứ tựu thân.
”玄德曰：“周瑜定计欲害刘备，岂可以身轻入危险之地？	" Huyền đức viết: "Chu du định kế dục hại lưu bị, khởi khả dĩ thân khinh nhập nguy hiểm chi địa?
”孔明大笑曰：“周瑜虽能用计，岂能出诸葛亮之料乎！	" Khổng minh đại tiếu viết: "Chu du tuy năng dụng kế, khởi năng xuất Gia Cát lượng chi liêu hồ!
略用小谋，使周瑜半筹不展；吴侯之妹，又属主公；荆州万无一失。	Lược dụng tiểu mưu, sử chu du bán trù bất triển; ngô hầu chi muội, hựu chúc chúa công; kinh châu vạn vô nhất thất.
”玄德怀疑未决。	" Huyền đức hoài nghi vị quyết.

Paragraph 175
孔明竟教孙乾往江南说合亲事。	Khổng minh cánh giáo tôn kiền vãng giang nam thuyết hợp thân sự.
孙乾领了言语，与吕范同到江南，来见孙权。	Tôn kiền lĩnh liễu ngôn ngữ, dữ lữ phạm đồng đáo giang nam, lai kiến tôn quyền.
权曰：“吾愿将小妹招赘玄德，并无异心。	Quyền viết: "Ngô nguyện tương tiểu muội chiêu chuế huyền đức, tịnh vô dị tâm.
”孙乾拜谢，回荆州见玄德，言：“吴侯专候主公去结亲。	" Tôn kiền bái tạ, hồi kinh châu kiến huyền đức, ngôn: "Ngô hầu chuyên hậu chúa công khứ kết thân.
”玄德怀疑不敢往。	" Huyền đức hoài nghi bất cảm vãng.
孔明曰：“吾已定下三条计策，非子龙不可行也。	Khổng minh viết: "Ngô dĩ định hạ tam điều kế sách, phi tử long bất khả hành dã.
”遂唤赵云近前，附耳言曰：“汝保主公入吴，当领此三个锦囊。	" Toại hoán triệu vân cận tiền, phụ nhĩ ngôn viết: "Nhữ bảo chúa công nhập ngô, đương lĩnh thử tam cá cẩm nang.
囊中有三条妙计，依次而行。	Nang trung hữu tam điều diệu kế, y thứ nhi hành.
”即将三个锦囊，与云贴肉收藏，孔明先使人往东吴纳了聘，一切完备。	" Tức tương tam cá cẩm nang, dữ vân thiếp nhục thu tàng, khổng minh tiên sử nhân vãng đông ngô nạp liễu sính, nhất thiết hoàn bị.

Paragraph 176
时建安十四年冬十月。	Thời kiến an thập tứ niên đông thập nguyệt.
玄德与赵长、孙乾取快船十只，随行五百余人，离了荆州，前往南徐进发。	Huyền đức dữ triệu trường, tôn kiền thủ khoái thuyền thập chỉ, tùy hành ngũ bách dư nhân, li liễu kinh châu, tiền vãng nam từ tiến phát.
荆州之事，皆听孔明裁处。	Kinh châu chi sự, giai thính khổng minh tài xử.
玄德心中怏怏不安。	Huyền đức tâm trung ưởng ưởng bất an.
到南徐州，船已傍岸，云曰：“军师分付三条妙计，依次而行。	Đáo nam từ châu, thuyền dĩ bàng ngạn, vân viết: "Quân sư phân phó tam điều diệu kế, y thứ nhi hành.
今已到此，当先开第一个锦囊来看。	Kim dĩ đáo thử, đương tiên khai đệ nhất cá cẩm nang lai khán.
”于是开囊看了计策。	" Vu thị khai nang khán liễu kế sách.
便唤五百随行军士，一一分付如此如此，众军领命而去，又教玄德先往见乔国老，那乔国老乃二乔之父，居于南徐。	Tiện hoán ngũ bách tùy hành quân sĩ, nhất nhất phân phó như thử như thử, chúng quân lĩnh mệnh nhi khứ, hựu giáo huyền đức tiên vãng kiến kiều quốc lão, na kiều quốc lão nãi nhị kiều chi phụ, cư vu nam từ.
玄德牵羊担酒，先往拜见，说吕范为媒、娶夫人之事。	Huyền đức khiên dương đam tửu, tiên vãng bái kiến, thuyết lữ phạm vi môi, thú phu nhân chi sự.
随行五百军士，俱披红挂彩，入南徐买办物件，传说玄德入赘东吴，城中人尽知其事。	Tùy hành ngũ bách quân sĩ, câu phi hồng quải thải, nhập nam từ mãi biện vật kiện, truyền thuyết huyền đức nhập chuế đông ngô, thành trung nhân tẫn tri kì sự.
孙权知玄德已到，教吕范相待，且就馆舍安歇。	Tôn quyền tri huyền đức dĩ đáo, giáo lữ phạm tương đãi, thả tựu quán xá an hiết.

Paragraph 177
却说乔国老既见玄德，便入见吴国太贺喜。	Khước thuyết kiều quốc lão kí kiến huyền đức, tiện nhập kiến ngô quốc thái hạ hỉ.
国太曰：“有何喜事？	Quốc thái viết: "Hữu hà hỉ sự?
